67.421,2.216,46.942,4.742,2.47,1.742,9.344,30.081
26.109,7.034,11.763,9.134,8.082,4.372,8.87,5.151
68.35,85.862,42.484,4.487,10.129,20.273,19.747,20.699
5.659,10.686,8.91,3.933,1.21,1.044,9.117,40.096
50.853,16.64,5.109,1.045,5.974,16.628,1.416,13.883
34.677,54.234,17.585,13.623,2.025,8.464,19.26,7.56
12.915,26.167,6.529,1.229,1.373,1.287,10.766,0.999
8.831,4.977,3.281,3.294,4.544,2.991,5.915,4.339
28.502,2.051,1.021,1.3,0.854,2.146,1.425,1.189
64.275,25.156,46.081,11.115,21.21,12.111,7.532,8.085
166.359,84.261,167.759,7.92,4.226,17.759,36.345,4.32
6.399,4.407,2.39,8.696,2.019,2.565,1.608,2.23
29.331,4.8,3.292,2.867,16.898,2.3,12.094,1.281
81.911,435.005,19.383,11.248,9.84,9.992,9.4,8.032
85.645,32.82,8.308,10.473,15.399,11.858,26.398,135.199
34.029,22.664,17.9,23.463,14.294,9.759,5.552,12.898
38.773,9.917,1.782,1.197,1.625,0.9,0.613,0.721
26.279,5.489,5.138,4.581,5.349,4.58,14.915,10.716
4.004,84.113,3.952,4.903,2.738,6.332,11.089,73.337
24.206,23.384,19.565,5.972,2.131,2.79,16.61,15.736
4.6,17.402,4.84,2.325,2.305,3.329,2.258,10.989
14.056,1.078,22.128,2.119,22.12,3.976,5.057,5.568
13.051,12.17,48.288,2.258,10.545,4.137,3.724,21.137
30.889,31.637,20.66,47.693,16.399,70.71,22.532,19.33
15.855,6.558,6.075,12.363,2.32,3.839,19.187,5.392
14.123,2.178,23.594,3.152,6.857,1.17,2.825,1.064
16.668,6.993,7.051,3.159,7.845,9.079,2.349,7.879
59.221,199.645,2.603,13.291,112.639,8.489,3.275,1.783
29.703,13.199,285.711,22.265,10.059,7.738,9.779,1.684
15.174,2.679,1.517,1.486,0.905,2.331,0.689,0.835
26.182,27.414,4.582,3.827,4.574,3.962,4.867,3.159
48.911,11.386,13.183,19.594,8.771,6.193,10.939,5.094
15.981,3.565,3.046,5.023,13.246,1.027,7.895,1.136
72.899,71.632,29.233,15.172,7.319,2.84,14.891,11.461
24.955,2.088,3.191,1.104,0.955,1.054,0.733,0.851
33.25,22.461,8.757,4.886,5.223,2.137,2.961,2.207
7.768,4.288,5.002,4.58,20.166,1.839,1.678,10.938
10.117,43.865,9.128,4.6,39.853,4.282,5.5,4.083
13.155,12.941,35.334,4.63,9.179,5.184,72.182,16.3
56.869,50.004,6.592,2.204,0.867,0.913,0.901,0.765
13.546,3.74,8.303,10.819,7.669,5.807,7.028,4.918
6.299,16.285,2.185,3.287,0.999,2.037,25.32,1.472
35.109,42.9,2.443,1.114,0.729,8.428,1.5,1.131
3.992,42.504,21.4,4.176,2.2,1.225,9.103,2.584
9.695,33.664,40.36,4.516,2.226,0.868,2.357,1.546
32.741,10.982,4.496,4.196,10.135,5.11,15.818,3.79
109.315,35.011,33.061,3.136,11.88,10.484,7.839,20.925
28.559,50.782,15.618,59.468,33.09,18.796,6.062,2.946
45.37,17.714,31.108,8.794,9.427,3.597,78.498,5.75
23.443,2.25,3.419,2.374,1.08,1.372,1.001,4.342
59.065,24.463,51.808,3.048,11.126,2.706,8.904,1.803
